Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2
2005-07-26,International,Outdoor,Clay,1st Round,3,Djokovic N.,Calatrava A.,Djokovic N.,97,163,417,259,1.36,2.87
2005-07-27,International,Outdoor,Clay,2nd Round,3,Ferrero J.C.,Djokovic N.,Ferrero J.C.,28,97,1170,417,1.14,5.0
2005-08-15,Masters,Outdoor,Hard,1st Round,3,Djokovic N.,Gonzalez F.,Gonzalez F.,97,18,440,1385,3.5,1.28
2005-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Monfils G.,Djokovic N.,97,43,431,825,2.5,1.5
2005-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Ancic M.,Djokovic N.,97,24,431,1230,3.5,1.28
2005-09-04,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Verdasco F.,Verdasco F.,97,48,431,770,2.75,1.39
2005-10-24,International,Indoor,Carpet,1st Round,3,Djokovic N.,Mello R.,Djokovic N.,88,105,468,398,1.39,2.75
2005-10-26,International,Indoor,Carpet,2nd Round,3,Djokovic N.,Rochus O.,Rochus O.,88,24,468,1160,3.0,1.36
2005-11-01,Masters,Indoor,Carpet,2nd Round,3,Puerta M.,Djokovic N.,Djokovic N.,9,85,1834,488,2.2,1.61
2005-11-03,Masters,Indoor,Carpet,3rd Round,3,Djokovic N.,Robredo T.,Robredo T.,85,21,488,1370,2.37,1.53
2006-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Goldstein P.,Goldstein P.,76,68,502,567,1.39,2.75
2006-01-30,International,Indoor,Carpet,1st Round,3,Djokovic N.,Vik R.,Djokovic N.,81,59,487,605,1.66,2.1
2006-02-02,International,Indoor,Carpet,2nd Round,3,Djokovic N.,Stepanek R.,Djokovic N.,81,21,487,1400,2.75,1.39
2006-02-03,International,Indoor,Carpet,Quarterfinals,3,Djokovic N.,Bozoljac I.,Djokovic N.,81,215,487,173,1.36,3.0
2006-02-04,International,Indoor,Carpet,Semifinals,3,Djokovic N.,Ljubicic I.,Ljubicic I.,81,5,487,2395,5.0,1.14
2006-02-21,International Gold,Indoor,Hard,1st Round,3,Djokovic N.,Seppi A.,Djokovic N.,72,53,548,710,1.5,2.5
2006-02-23,International Gold,Indoor,Hard,2nd Round,3,Henman T.,Djokovic N.,Djokovic N.,40,72,815,548,1.57,2.25
2006-02-24,International Gold,Indoor,Hard,Quarterfinals,3,Djokovic N.,Stepanek R.,Stepanek R.,72,23,548,1355,2.37,1.53
2006-03-11,Masters,Outdoor,Hard,1st Round,3,Benneteau J.,Djokovic N.,Benneteau J.,88,67,459,591,2.37,1.53
2006-03-24,Masters,Outdoor,Hard,1st Round,3,Djokovic N.,Mathieu P.H.,Djokovic N.,66,37,596,853,2.0,1.72
2006-03-25,Masters,Outdoor,Hard,2nd Round,3,Coria G.,Djokovic N.,Coria G.,7,66,2025,596,2.1,1.66
2006-04-17,Masters,Outdoor,Clay,1st Round,3,Djokovic N.,Federer R.,Federer R.,67,1,606,6810,8.5,1.05
2006-04-24,International Gold,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Djokovic N.,Gimeno-Traver D.,178,66,225,614,3.25,1.28
2006-05-15,Masters,Outdoor,Clay,1st Round,3,Coria G.,Djokovic N.,Djokovic N.,21,71,1345,577,2.0,1.72
2006-05-17,Masters,Outdoor,Clay,2nd Round,3,Verdasco F.,Djokovic N.,Verdasco F.,34,71,895,577,1.72,2.0
2006-06-01,Grand Slam,Outdoor,Clay,2nd Round,5,Gonzalez F.,Djokovic N.,Djokovic N.,9,63,1780,627,1.22,4.0
2006-06-03,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Haas T.,Djokovic N.,63,25,627,1250,1.61,2.2
2006-06-05,Grand Slam,Outdoor,Clay,4th Round,5,Monfils G.,Djokovic N.,Djokovic N.,28,63,1100,627,2.25,1.57
2006-06-18,International,Outdoor,Grass,1st Round,3,Waske A.,Djokovic N.,Djokovic N.,89,40,455,827,2.37,1.53
2006-06-21,International,Outdoor,Grass,2nd Round,3,Djokovic N.,Hernych J.,Hernych J.,40,128,827,333,1.39,2.75
2006-06-27,Grand Slam,Outdoor,Grass,1st Round,5,Goldstein P.,Djokovic N.,Djokovic N.,65,39,611,841,2.75,1.39
2006-06-29,Grand Slam,Outdoor,Grass,2nd Round,5,Robredo T.,Djokovic N.,Djokovic N.,8,39,1920,841,2.0,1.72
2006-06-30,Grand Slam,Outdoor,Grass,3rd Round,5,Djokovic N.,Youzhny M.,Djokovic N.,39,41,841,830,1.44,2.62
2006-07-03,Grand Slam,Outdoor,Grass,4th Round,5,Djokovic N.,Ancic M.,Ancic M.,39,10,841,1885,3.0,1.36
2006-07-17,International,Outdoor,Clay,1st Round,3,Djokovic N.,Pashanski B.,Djokovic N.,36,73,901,537,1.16,4.5
2006-07-20,International,Outdoor,Clay,2nd Round,3,Djokovic N.,Zib T.,Djokovic N.,36,127,901,355,1.1,6.5
2006-07-21,International,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Gicquel M.,Djokovic N.,36,87,901,481,1.11,6.0
2006-07-23,International,Outdoor,Clay,The Final,3,Djokovic N.,Massu N.,Djokovic N.,36,37,901,890,1.61,2.2
2006-07-25,International,Outdoor,Clay,1st Round,3,Djokovic N.,Belic L.,Djokovic N.,28,1543,1071,1,1.03,10.0
2006-07-27,International,Outdoor,Clay,2nd Round,3,Ianni S.,Djokovic N.,Djokovic N.,559,28,43,1071,12.0,1.02
2006-07-29,International,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Vanek J.,Djokovic N.,28,110,1071,389,1.1,6.5
2006-07-29,International,Outdoor,Clay,Semifinals,3,Djokovic N.,Moya C.,Djokovic N.,28,42,1071,830,1.66,2.1
2006-08-15,Masters,Outdoor,Hard,1st Round,3,Djokovic N.,Nieminen J.,Djokovic N.,24,15,1168,1680,1.72,2.0
2006-08-16,Masters,Outdoor,Hard,2nd Round,3,Serra F.,Djokovic N.,Serra F.,52,24,755,1168,3.5,1.28
2006-08-28,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Young D.,Djokovic N.,23,577,1183,40,1.03,11.0
2006-08-31,Grand Slam,Outdoor,Hard,2nd Round,5,Djokovic N.,Fish M.,Djokovic N.,23,60,1183,651,1.53,2.37
2006-09-03,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Hewitt L.,Hewitt L.,23,17,1183,1515,2.1,1.66
2006-10-03,International,Indoor,Hard,1st Round,3,Mahut N.,Djokovic N.,Djokovic N.,67,22,591,1183,3.5,1.25
2006-10-05,International,Indoor,Hard,2nd Round,3,Bracciali D.,Djokovic N.,Djokovic N.,66,22,601,1183,4.33,1.19
2006-10-06,International,Indoor,Hard,Quarterfinals,3,Clemens T.,Djokovic N.,Djokovic N.,265,22,149,1183,7.5,1.07
2006-10-07,International,Indoor,Hard,Semifinals,3,Grosjean S.,Djokovic N.,Djokovic N.,35,22,910,1183,2.5,1.5
2006-10-08,International,Indoor,Hard,The Final,3,Djokovic N.,Melzer J.,Djokovic N.,22,48,1183,755,1.33,3.25
2006-10-11,International Gold,Indoor,Hard,1st Round,3,Djokovic N.,Zib T.,Djokovic N.,16,146,1350,310,1.08,6.5
