Series,Surface,Round,dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age,is_outdoor,is_five_sets,5SMA
International,Clay,2nd Round,417,97,5.0,1170,28,1.14,0,18,1,0,1.0
Masters,Hard,1st Round,440,97,3.5,1385,18,1.28,0,18,1,0,0.5
Grand Slam,Hard,1st Round,431,97,2.5,825,43,1.5,1,18,1,1,0.3333333333333333
Grand Slam,Hard,2nd Round,431,97,3.5,1230,24,1.28,1,18,1,1,0.5
Grand Slam,Hard,3rd Round,431,97,2.75,770,48,1.39,0,18,1,1,0.6
International,Carpet,1st Round,468,88,1.39,398,105,2.75,1,18,0,0,0.6
International,Carpet,2nd Round,468,88,3.0,1160,24,1.36,0,18,0,0,0.4
Masters,Carpet,2nd Round,488,85,1.61,1834,9,2.2,1,18,0,0,0.6
Masters,Carpet,3rd Round,488,85,2.37,1370,21,1.53,0,18,0,0,0.6
Grand Slam,Hard,1st Round,502,76,1.39,567,68,2.75,0,19,1,1,0.6
International,Carpet,1st Round,487,81,1.66,605,59,2.1,1,19,0,0,0.4
International,Carpet,2nd Round,487,81,2.75,1400,21,1.39,1,19,0,0,0.4
International,Carpet,Quarterfinals,487,81,1.36,173,215,3.0,1,19,0,0,0.4
International,Carpet,Semifinals,487,81,5.0,2395,5,1.14,0,19,0,0,0.6
International Gold,Hard,1st Round,548,72,1.5,710,53,2.5,1,19,0,0,0.6
International Gold,Hard,2nd Round,548,72,2.25,815,40,1.57,1,19,0,0,0.6
International Gold,Hard,Quarterfinals,548,72,2.37,1355,23,1.53,0,19,0,0,0.8
Masters,Hard,1st Round,591,67,1.53,459,88,2.37,0,19,1,0,0.8
Masters,Hard,1st Round,596,66,2.0,853,37,1.72,1,19,1,0,0.6
Masters,Hard,2nd Round,596,66,1.66,2025,7,2.1,0,19,1,0,0.4
Masters,Clay,1st Round,606,67,8.5,6810,1,1.05,0,19,1,0,0.6
International Gold,Clay,1st Round,614,66,1.28,225,178,3.25,0,19,1,0,0.4
Masters,Clay,1st Round,577,71,1.72,1345,21,2.0,1,19,1,0,0.2
Masters,Clay,2nd Round,577,71,2.0,895,34,1.72,0,19,1,0,0.2
Grand Slam,Clay,2nd Round,627,63,4.0,1780,9,1.22,1,19,1,1,0.4
Grand Slam,Clay,3rd Round,627,63,1.61,1250,25,2.2,1,19,1,1,0.2
Grand Slam,Clay,4th Round,627,63,1.57,1100,28,2.25,1,19,1,1,0.4
International,Grass,1st Round,827,40,1.53,455,89,2.37,1,19,1,0,0.6
International,Grass,2nd Round,827,40,1.39,333,128,2.75,0,19,1,0,0.8
Grand Slam,Grass,1st Round,841,39,1.39,611,65,2.75,1,19,1,1,0.8
Grand Slam,Grass,2nd Round,841,39,1.72,1920,8,2.0,1,19,1,1,0.8
Grand Slam,Grass,3rd Round,841,39,1.44,830,41,2.62,1,19,1,1,0.8
Grand Slam,Grass,4th Round,841,39,3.0,1885,10,1.36,0,19,1,1,0.8
International,Clay,1st Round,901,36,1.16,537,73,4.5,1,19,1,0,0.8
International,Clay,2nd Round,901,36,1.1,355,127,6.5,1,19,1,0,0.6
International,Clay,Quarterfinals,901,36,1.11,481,87,6.0,1,19,1,0,0.8
International,Clay,The Final,901,36,1.61,890,37,2.2,1,19,1,0,0.8
International,Clay,1st Round,1071,28,1.03,1,1543,10.0,1,19,1,0,0.8
International,Clay,2nd Round,1071,28,1.02,43,559,12.0,1,19,1,0,0.8
International,Clay,Quarterfinals,1071,28,1.1,389,110,6.5,1,19,1,0,1.0
International,Clay,Semifinals,1071,28,1.66,830,42,2.1,1,19,1,0,1.0
Masters,Hard,1st Round,1168,24,1.72,1680,15,2.0,1,19,1,0,1.0
Masters,Hard,2nd Round,1168,24,1.28,755,52,3.5,0,19,1,0,1.0
Grand Slam,Hard,1st Round,1183,23,1.03,40,577,11.0,1,19,1,1,1.0
Grand Slam,Hard,2nd Round,1183,23,1.53,651,60,2.37,1,19,1,1,0.8
Grand Slam,Hard,3rd Round,1183,23,2.1,1515,17,1.66,0,19,1,1,0.8
International,Hard,1st Round,1183,22,1.25,591,67,3.5,1,19,0,0,0.8
International,Hard,2nd Round,1183,22,1.19,601,66,4.33,1,19,0,0,0.6
International,Hard,Quarterfinals,1183,22,1.07,149,265,7.5,1,19,0,0,0.6
International,Hard,Semifinals,1183,22,1.5,910,35,2.5,1,19,0,0,0.8
International,Hard,The Final,1183,22,1.33,755,48,3.25,1,19,0,0,0.8
International Gold,Hard,1st Round,1350,16,1.08,310,146,6.5,1,19,0,0,0.8
International Gold,Hard,2nd Round,1350,16,1.36,803,44,3.0,0,19,0,0,1.0
Masters,Hard,2nd Round,1360,17,2.25,1045,27,1.57,1,19,0,0,1.0
Masters,Hard,3rd Round,1360,17,2.1,1295,19,1.66,1,19,0,0,0.8
Masters,Hard,Quarterfinals,1360,17,1.66,1965,10,2.1,0,19,0,0,0.8
Masters,Carpet,2nd Round,1465,16,1.3,723,54,3.39,0,19,0,0,0.8
International,Hard,Round Robin,1380,16,1.08,509,76,6.5,1,20,1,0,0.6
International,Hard,Round Robin,1380,16,1.08,194,200,6.5,1,20,1,0,0.4
International,Hard,Quarterfinals,1380,16,1.16,526,70,4.5,1,20,1,0,0.6
