dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
417,97,5.0,1170,28,1.14,0,-9.817932922655714,96.39180687376698,1,0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0
440,97,3.5,1385,18,1.28,0,-9.765913757700204,95.37307152283812,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0
431,97,2.5,825,43,1.5,1,-9.724845995893222,94.57262964384044,1,1,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0
431,97,3.5,1230,24,1.28,1,-9.716632443531829,94.41294604269532,1,1,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0
431,97,2.75,770,48,1.39,0,-9.711156741957563,94.30656526686782,1,1,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0
502,76,1.39,567,68,2.75,0,-9.34154688569473,87.26449821763289,1,1,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0
548,72,1.5,710,53,2.5,1,-9.245722108145106,85.48337730104318,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0
548,72,2.25,815,40,1.57,1,-9.240246406570844,85.38215365414538,0,0,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0
548,72,2.37,1355,23,1.53,0,-9.237508555783709,85.33156431817723,0,0,0.8,1,0,0,0,0,0,0,0,0,1,0,0,0
591,67,1.53,459,88,2.37,0,-9.196440793976727,84.5745232771193,1,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0
596,66,2.0,853,37,1.72,1,-9.160848733744011,83.92114952253925,1,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0
596,66,1.66,2025,7,2.1,0,-9.15811088295688,83.87099494453324,1,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0
606,67,8.5,6810,1,1.05,0,-9.095140314852841,82.72157734686144,1,0,0.4,0,0,1,0,1,0,0,0,0,0,0,0,0
614,66,1.28,225,178,3.25,0,-9.075975359342916,82.37332872339978,1,0,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0
577,71,1.72,1345,21,2.0,1,-9.018480492813143,81.3329903992512,1,0,0.2,0,0,1,0,1,0,0,0,0,0,0,0,0
577,71,2.0,895,34,1.72,0,-9.013004791238878,81.23425536689496,1,0,0.4,0,0,1,0,1,0,1,0,0,0,0,0,0
627,63,4.0,1780,9,1.22,1,-8.971937029431896,80.49565406009123,1,1,0.2,0,1,0,0,1,0,1,0,0,0,0,0,0
627,63,1.61,1250,25,2.2,1,-8.966461327857633,80.39742874396647,1,1,0.4,0,1,0,0,1,0,0,1,0,0,0,0,0
627,63,1.57,1100,28,2.25,1,-8.960985626283367,80.29926339445711,1,1,0.6,0,1,0,0,1,0,0,0,1,0,0,0,0
827,40,1.53,455,89,2.37,1,-8.925393566050651,79.66265030889836,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0
827,40,1.39,333,128,2.75,0,-8.917180013689254,79.51609939653909,1,0,0.8,0,0,0,0,0,1,1,0,0,0,0,0,0
841,39,1.39,611,65,2.75,1,-8.90075290896646,79.2234023464749,1,1,0.8,0,1,0,0,0,1,0,0,0,0,0,0,0
841,39,1.72,1920,8,2.0,1,-8.895277207392198,79.12595659635113,1,1,0.8,0,1,0,0,0,1,1,0,0,0,0,0,0
841,39,1.44,830,41,2.62,1,-8.892539356605067,79.07725620877005,1,1,0.8,0,1,0,0,0,1,0,1,0,0,0,0,0
841,39,3.0,1885,10,1.36,0,-8.88432580424367,78.93124499594992,1,1,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0
901,36,1.16,537,73,4.5,1,-8.845995893223819,78.25164334293267,1,0,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0
901,36,1.1,355,127,6.5,1,-8.837782340862422,78.10639670445967,1,0,0.8,0,0,0,0,1,0,1,0,0,0,0,0,0
901,36,1.11,481,87,6.0,1,-8.83504449007529,78.05801114160975,1,0,0.8,0,0,0,0,1,0,0,0,0,1,0,0,0
901,36,1.61,890,37,2.2,1,-8.829568788501028,77.96128499087152,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,1
1071,28,1.03,1,1543,10.0,1,-8.824093086926762,77.86461880674868,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0
1071,28,1.02,43,559,12.0,1,-8.8186173853525,77.76801258924137,1,0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0
1071,28,1.1,389,110,6.5,1,-8.813141683778234,77.67146633834945,1,0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0
1071,28,1.66,830,42,2.1,1,-8.813141683778234,77.67146633834945,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0
1168,24,1.72,1680,15,2.0,1,-8.76659822039699,76.85324435786767,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1168,24,1.28,755,52,3.5,0,-8.763860369609855,76.80524857801818,1,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0
1183,23,1.03,40,577,11.0,1,-8.73100616016427,76.23046856882644,1,1,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0
