Series,Surface,Round,dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA
International,Clay,2nd Round,417,97,1170,28,0,18,1,0,1.0
Masters,Hard,1st Round,440,97,1385,18,0,18,1,0,0.5
Grand Slam,Hard,1st Round,431,97,825,43,1,18,1,1,0.3333333333333333
Grand Slam,Hard,2nd Round,431,97,1230,24,1,18,1,1,0.5
Grand Slam,Hard,3rd Round,431,97,770,48,0,18,1,1,0.6
International,Carpet,1st Round,468,88,398,105,1,18,0,0,0.6
International,Carpet,2nd Round,468,88,1160,24,0,18,0,0,0.4
Masters,Carpet,2nd Round,488,85,1834,9,1,18,0,0,0.6
Masters,Carpet,3rd Round,488,85,1370,21,0,18,0,0,0.6
Grand Slam,Hard,1st Round,502,76,567,68,0,19,1,1,0.6
International,Carpet,1st Round,487,81,605,59,1,19,0,0,0.4
International,Carpet,2nd Round,487,81,1400,21,1,19,0,0,0.4
International,Carpet,Quarterfinals,487,81,173,215,1,19,0,0,0.4
International,Carpet,Semifinals,487,81,2395,5,0,19,0,0,0.6
International Gold,Hard,1st Round,548,72,710,53,1,19,0,0,0.6
International Gold,Hard,2nd Round,548,72,815,40,1,19,0,0,0.6
International Gold,Hard,Quarterfinals,548,72,1355,23,0,19,0,0,0.8
Masters,Hard,1st Round,591,67,459,88,0,19,1,0,0.8
Masters,Hard,1st Round,596,66,853,37,1,19,1,0,0.6
Masters,Hard,2nd Round,596,66,2025,7,0,19,1,0,0.4
Masters,Clay,1st Round,606,67,6810,1,0,19,1,0,0.6
International Gold,Clay,1st Round,614,66,225,178,0,19,1,0,0.4
Masters,Clay,1st Round,577,71,1345,21,1,19,1,0,0.2
Masters,Clay,2nd Round,577,71,895,34,0,19,1,0,0.2
Grand Slam,Clay,2nd Round,627,63,1780,9,1,19,1,1,0.4
Grand Slam,Clay,3rd Round,627,63,1250,25,1,19,1,1,0.2
Grand Slam,Clay,4th Round,627,63,1100,28,1,19,1,1,0.4
International,Grass,1st Round,827,40,455,89,1,19,1,0,0.6
International,Grass,2nd Round,827,40,333,128,0,19,1,0,0.8
Grand Slam,Grass,1st Round,841,39,611,65,1,19,1,1,0.8
Grand Slam,Grass,2nd Round,841,39,1920,8,1,19,1,1,0.8
Grand Slam,Grass,3rd Round,841,39,830,41,1,19,1,1,0.8
Grand Slam,Grass,4th Round,841,39,1885,10,0,19,1,1,0.8
International,Clay,1st Round,901,36,537,73,1,19,1,0,0.8
International,Clay,2nd Round,901,36,355,127,1,19,1,0,0.6
International,Clay,Quarterfinals,901,36,481,87,1,19,1,0,0.8
International,Clay,The Final,901,36,890,37,1,19,1,0,0.8
International,Clay,1st Round,1071,28,1,1543,1,19,1,0,0.8
International,Clay,2nd Round,1071,28,43,559,1,19,1,0,0.8
International,Clay,Quarterfinals,1071,28,389,110,1,19,1,0,1.0
International,Clay,Semifinals,1071,28,830,42,1,19,1,0,1.0
Masters,Hard,1st Round,1168,24,1680,15,1,19,1,0,1.0
Masters,Hard,2nd Round,1168,24,755,52,0,19,1,0,1.0
Grand Slam,Hard,1st Round,1183,23,40,577,1,19,1,1,1.0
Grand Slam,Hard,2nd Round,1183,23,651,60,1,19,1,1,0.8
Grand Slam,Hard,3rd Round,1183,23,1515,17,0,19,1,1,0.8
International,Hard,1st Round,1183,22,591,67,1,19,0,0,0.8
International,Hard,2nd Round,1183,22,601,66,1,19,0,0,0.6
International,Hard,Quarterfinals,1183,22,149,265,1,19,0,0,0.6
International,Hard,Semifinals,1183,22,910,35,1,19,0,0,0.8
International,Hard,The Final,1183,22,755,48,1,19,0,0,0.8
International Gold,Hard,1st Round,1350,16,310,146,1,19,0,0,0.8
International Gold,Hard,2nd Round,1350,16,803,44,0,19,0,0,1.0
Masters,Hard,2nd Round,1360,17,1045,27,1,19,0,0,1.0
Masters,Hard,3rd Round,1360,17,1295,19,1,19,0,0,0.8
Masters,Hard,Quarterfinals,1360,17,1965,10,0,19,0,0,0.8
Masters,Carpet,2nd Round,1465,16,723,54,0,19,0,0,0.8
International,Hard,Round Robin,1380,16,509,76,1,20,1,0,0.6
International,Hard,Round Robin,1380,16,194,200,1,20,1,0,0.4
International,Hard,Quarterfinals,1380,16,526,70,1,20,1,0,0.6
International,Hard,Semifinals,1380,16,202,193,1,20,1,0,0.6
International,Hard,The Final,1380,16,287,153,1,20,1,0,0.6
Grand Slam,Hard,1st Round,1530,15,825,43,1,20,1,1,0.8
Grand Slam,Hard,2nd Round,1530,15,486,79,1,20,1,1,1.0
Grand Slam,Hard,3rd Round,1530,15,417,102,1,20,1,1,1.0
Grand Slam,Hard,4th Round,1530,15,8120,1,0,20,1,1,1.0
International,Hard,1st Round,1625,14,1180,22,0,20,0,0,1.0
International Gold,Hard,1st Round,1625,14,540,67,1,20,0,0,0.8
International Gold,Hard,2nd Round,1625,14,374,120,1,20,0,0,0.6
International Gold,Hard,Quarterfinals,1625,14,2555,7,1,20,0,0,0.6
International Gold,Hard,Semifinals,1625,14,1215,22,0,20,0,0,0.6
International Gold,Hard,1st Round,1665,14,720,49,1,20,1,0,0.6
International Gold,Hard,2nd Round,1665,14,443,98,1,20,1,0,0.6
International Gold,Hard,Quarterfinals,1665,14,8120,1,0,20,1,0,0.8
Masters,Hard,2nd Round,1715,13,765,43,1,20,1,0,0.8
Masters,Hard,3rd Round,1715,13,511,71,1,20,1,0,0.6
Masters,Hard,4th Round,1715,13,757,46,1,20,1,0,0.6
Masters,Hard,Quarterfinals,1715,13,1645,15,1,20,1,0,0.8
Masters,Hard,Semifinals,1715,13,1700,14,1,20,1,0,0.8
Masters,Hard,The Final,1715,13,4480,2,0,20,1,1,0.8
Masters,Hard,2nd Round,2060,10,485,82,1,20,1,0,1.0
Masters,Hard,3rd Round,2060,10,514,76,1,20,1,0,0.8
Masters,Hard,4th Round,2060,10,481,84,1,20,1,0,0.8
Masters,Hard,Quarterfinals,2060,10,4755,2,1,20,1,0,0.8
Masters,Hard,Semifinals,2060,10,1905,12,1,20,1,0,0.8
Masters,Hard,The Final,2060,10,652,55,1,20,1,1,0.8
Masters,Clay,2nd Round,2540,7,740,45,1,20,1,0,1.0
Masters,Clay,3rd Round,2540,7,1615,16,0,20,1,0,1.0
International,Clay,1st Round,2595,5,230,177,1,20,1,0,1.0
International,Clay,2nd Round,2595,5,164,232,1,20,1,0,0.8
International,Clay,Quarterfinals,2595,5,609,62,1,20,1,0,0.8
International,Clay,Semifinals,2595,5,2445,7,1,20,1,0,0.8
International,Clay,The Final,2595,5,1745,15,1,20,1,0,0.8
Masters,Clay,2nd Round,2720,5,1053,27,1,20,1,0,0.8
Masters,Clay,3rd Round,2720,5,1335,18,1,20,1,0,1.0
Masters,Clay,Quarterfinals,2720,5,4875,2,0,20,1,0,1.0
Masters,Clay,2nd Round,2735,6,822,38,1,20,1,0,1.0
Masters,Clay,3rd Round,2735,6,1170,23,1,20,1,0,0.8
Masters,Clay,Quarterfinals,2735,6,860,36,0,20,1,0,0.8
Grand Slam,Clay,1st Round,2810,6,341,123,1,20,1,1,0.8
Grand Slam,Clay,2nd Round,2810,6,115,306,1,20,1,1,0.6
Grand Slam,Clay,3rd Round,2810,6,337,129,1,20,1,1,0.6
Grand Slam,Clay,4th Round,2810,6,695,51,1,20,1,1,0.8
Grand Slam,Clay,Quarterfinals,2810,6,340,125,1,20,1,1,0.8
Grand Slam,Clay,Semifinals,2810,6,5225,2,0,20,1,1,0.8
International,Grass,2nd Round,3010,4,481,86,1,20,1,0,1.0
International,Grass,3rd Round,3010,4,745,43,0,20,1,0,0.8
Grand Slam,Grass,1st Round,3010,5,716,47,1,20,1,1,0.8
Grand Slam,Grass,2nd Round,3010,5,560,67,1,20,1,1,0.6
Grand Slam,Grass,3rd Round,3010,5,6,1065,1,20,1,1,0.6
Grand Slam,Grass,4th Round,3010,5,1330,19,1,20,1,1,0.6
Grand Slam,Grass,Quarterfinals,3010,5,1570,16,1,20,1,1,0.8
International,Clay,1st Round,3245,3,223,182,1,20,1,0,0.8
International,Clay,2nd Round,3245,3,230,176,0,20,1,0,1.0
Masters,Hard,2nd Round,3200,4,150,254,1,20,1,0,1.0
Masters,Hard,3rd Round,3200,4,1115,26,1,20,1,0,0.8
Masters,Hard,Quarterfinals,3200,4,3290,3,1,20,1,0,0.8
Masters,Hard,Semifinals,3200,4,5455,2,1,20,1,0,0.8
Masters,Hard,The Final,3200,4,7290,1,1,20,1,0,0.8
Masters,Hard,2nd Round,3700,3,1325,19,0,20,1,0,0.8
Grand Slam,Hard,1st Round,3670,3,437,95,1,20,1,1,1.0
Grand Slam,Hard,2nd Round,3670,3,850,35,1,20,1,1,0.8
Grand Slam,Hard,3rd Round,3670,3,595,57,1,20,1,1,0.8
Grand Slam,Hard,4th Round,3670,3,1175,23,1,20,1,1,0.8
Grand Slam,Hard,Quarterfinals,3670,3,1445,17,1,20,1,1,0.8
Grand Slam,Hard,Semifinals,3670,3,1565,15,1,20,1,1,0.8
Grand Slam,Hard,The Final,3670,3,7605,1,0,20,1,1,1.0
International Gold,Hard,1st Round,4145,3,535,70,1,20,0,0,1.0
International Gold,Hard,2nd Round,4145,3,345,126,1,20,0,0,0.8
International Gold,Hard,Quarterfinals,4145,3,1465,16,1,20,0,0,0.8
International Gold,Hard,Semifinals,4145,3,529,73,1,20,0,0,0.8
International Gold,Hard,The Final,4145,3,745,41,1,20,0,0,0.8
Masters,Hard,2nd Round,4370,3,905,32,1,20,0,0,0.8
Masters,Hard,3rd Round,4370,3,1285,23,1,20,0,0,1.0
Masters,Hard,Quarterfinals,4370,3,675,49,1,20,0,0,1.0
