dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
417,97,1170,28,0,18,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
440,97,1385,18,0,18,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
431,97,825,43,1,18,1,1,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
431,97,1230,24,1,18,1,1,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
431,97,770,48,0,18,1,1,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
468,88,398,105,1,18,0,0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
468,88,1160,24,0,18,0,0,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
488,85,1834,9,1,18,0,0,0.6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
488,85,1370,21,0,18,0,0,0.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
502,76,567,68,0,19,1,1,0.6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
487,81,605,59,1,19,0,0,0.4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
487,81,1400,21,1,19,0,0,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
487,81,173,215,1,19,0,0,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
487,81,2395,5,0,19,0,0,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
548,72,710,53,1,19,0,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
548,72,815,40,1,19,0,0,0.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
548,72,1355,23,0,19,0,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
591,67,459,88,0,19,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
596,66,853,37,1,19,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
596,66,2025,7,0,19,1,0,0.4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
606,67,6810,1,0,19,1,0,0.6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
614,66,225,178,0,19,1,0,0.4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
577,71,1345,21,1,19,1,0,0.2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
577,71,895,34,0,19,1,0,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
627,63,1780,9,1,19,1,1,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
627,63,1250,25,1,19,1,1,0.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
627,63,1100,28,1,19,1,1,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
827,40,455,89,1,19,1,0,0.6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
827,40,333,128,0,19,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
841,39,611,65,1,19,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
841,39,1920,8,1,19,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
841,39,830,41,1,19,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
841,39,1885,10,0,19,1,1,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
901,36,537,73,1,19,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
901,36,355,127,1,19,1,0,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
901,36,481,87,1,19,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
901,36,890,37,1,19,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1071,28,1,1543,1,19,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1071,28,43,559,1,19,1,0,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1071,28,389,110,1,19,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
