,dj_odds,opp_odds,dj_win
1,5.0,1.14,0
2,3.5,1.28,0
3,2.5,1.5,1
4,3.5,1.28,1
5,2.75,1.39,0
6,1.39,2.75,1
7,3.0,1.36,0
8,1.61,2.2,1
9,2.37,1.53,0
10,1.39,2.75,0
11,1.66,2.1,1
12,2.75,1.39,1
13,1.36,3.0,1
14,5.0,1.14,0
15,1.5,2.5,1
16,2.25,1.57,1
17,2.37,1.53,0
18,1.53,2.37,0
19,2.0,1.72,1
20,1.66,2.1,0
21,8.5,1.05,0
22,1.28,3.25,0
23,1.72,2.0,1
24,2.0,1.72,0
25,4.0,1.22,1
26,1.61,2.2,1
27,1.57,2.25,1
28,1.53,2.37,1
29,1.39,2.75,0
30,1.39,2.75,1
31,1.72,2.0,1
32,1.44,2.62,1
33,3.0,1.36,0
34,1.16,4.5,1
35,1.1,6.5,1
36,1.11,6.0,1
37,1.61,2.2,1
38,1.03,10.0,1
39,1.02,12.0,1
40,1.1,6.5,1
41,1.66,2.1,1
42,1.72,2.0,1
43,1.28,3.5,0
44,1.03,11.0,1
45,1.53,2.37,1
46,2.1,1.66,0
47,1.25,3.5,1
48,1.19,4.33,1
49,1.07,7.5,1
50,1.5,2.5,1
51,1.33,3.25,1
52,1.08,6.5,1
53,1.36,3.0,0
54,2.25,1.57,1
55,2.1,1.66,1
56,1.66,2.1,0
57,1.3,3.39,0
58,1.08,6.5,1
59,1.08,6.5,1
60,1.16,4.5,1
61,1.57,2.25,1
62,1.22,4.0,1
63,1.22,4.0,1
64,1.14,5.0,1
65,1.06,8.0,1
66,9.0,1.05,0
67,1.5,2.5,0
68,1.16,4.5,1
69,1.16,4.5,1
70,1.61,2.2,1
71,1.66,2.1,0
72,1.25,3.5,1
73,1.08,7.0,1
74,9.0,1.04,0
75,1.3,3.39,1
76,1.25,3.75,1
77,1.22,4.0,1
78,1.44,2.75,1
79,1.72,2.1,1
80,3.2,1.36,0
81,1.11,6.0,1
82,1.11,6.0,1
83,1.14,5.0,1
84,4.0,1.25,1
85,1.61,2.25,1
86,1.61,2.25,1
87,1.19,4.33,1
88,1.5,2.5,0
89,1.3,3.39,1
90,1.08,7.0,1
