Odd_1,Odd_2
5.5,1.12
1.53,2.35
1.28,3.5
1.61,2.2
7.5,1.07
3.0,1.33
2.25,1.57
4.0,1.22
2.1,1.66
1.14,5.0
1.36,2.87
1.14,5.0
3.5,1.28
2.5,1.5
3.5,1.28
2.75,1.39
1.39,2.75
3.0,1.36
2.2,1.61
2.37,1.53
1.39,2.75
1.66,2.1
2.75,1.39
1.36,3.0
5.0,1.14
1.5,2.5
1.57,2.25
2.37,1.53
2.37,1.53
2.0,1.72
2.1,1.66
8.5,1.05
3.25,1.28
2.0,1.72
1.72,2.0
1.22,4.0
1.61,2.2
2.25,1.57
2.37,1.53
1.39,2.75
2.75,1.39
2.0,1.72
1.44,2.62
3.0,1.36
1.16,4.5
1.1,6.5
1.11,6.0
1.61,2.2
1.03,10.0
12.0,1.02
1.1,6.5
1.66,2.1
1.72,2.0
3.5,1.28
1.03,11.0
1.53,2.37
2.1,1.66
3.5,1.25
4.33,1.19
7.5,1.07
2.5,1.5
1.33,3.25
1.08,6.5
3.0,1.36
1.57,2.25
2.1,1.66
2.1,1.66
3.39,1.3
1.08,6.5
6.5,1.08
4.5,1.16
1.57,2.25
4.0,1.22
4.0,1.22
5.0,1.14
8.0,1.06
9.0,1.05
1.5,2.5
4.5,1.16
1.16,4.5
1.61,2.2
1.66,2.1
1.25,3.5
7.0,1.08
9.0,1.04
3.39,1.3
3.75,1.25
4.0,1.22
1.44,2.75
2.1,1.72
1.36,3.2
6.0,1.11
6.0,1.11
1.14,5.0
4.0,1.25
2.25,1.61
2.25,1.61
1.19,4.33
1.5,2.5
1.3,3.39
7.0,1.08
1.14,5.0
2.0,1.72
1.66,2.2
3.5,1.28
1.28,3.5
1.07,8.0
1.07,7.5
4.33,1.2
3.4,1.33
11.0,1.03
1.01,13.0
9.0,1.05
3.0,1.36
2.5,1.53
1.06,8.5
6.5,1.1
5.0,1.14
11.0,1.03
1.04,9.0
1.16,4.5
1.72,2.1
1.57,2.37
11.0,1.03
13.0,1.01
1.25,3.75
3.0,1.36
2.2,1.66
2.2,1.66
1.22,4.33
1.16,4.5
12.0,1.02
7.0,1.08
4.5,1.16
1.08,7.0
4.5,1.19
1.3,3.5
1.2,4.5
1.08,7.0
1.01,13.0
6.0,1.11
6.0,1.11
4.33,1.22
4.33,1.19
4.5,1.16
1.3,3.5
3.0,1.4
1.06,8.0
3.25,1.33
2.75,1.4
4.5,1.16
1.03,11.0
1.005,17.0
1.03,11.0
1.16,4.5
3.2,1.36
3.4,1.33
3.4,1.33
1.02,12.0
4.5,1.16
1.14,5.0
1.1,6.5
5.5,1.12
1.38,2.87
1.07,7.5
5.0,1.14
1.14,5.0
1.1,7.0
2.37,1.57
4.5,1.19
1.05,9.0
5.5,1.12
3.25,1.33
1.05,10.0
7.5,1.07
1.14,5.0
1.25,4.0
5.5,1.12
6.5,1.1
8.0,1.07
2.87,1.4
1.01,13.0
1.01,15.0
15.0,1.01
1.07,7.5
8.0,1.07
4.5,1.2
11.0,1.03
6.0,1.11
2.87,1.38
1.28,3.5
1.7,2.15
15.0,1.01
9.0,1.05
7.5,1.07
1.11,6.0
6.0,1.12
7.5,1.07
6.5,1.1
4.5,1.2
2.75,1.44
1.33,3.4
1.01,13.0
13.0,1.01
1.12,5.5
7.5,1.07
1.61,2.25
2.1,1.72
12.0,1.02
1.2,4.33
1.16,4.5
1.28,3.75
1.22,4.0
3.25,1.33
2.75,1.4
1.44,2.75
1.44,2.62
3.0,1.38
1.8,2.0
1.16,4.5
4.33,1.2
1.2,4.33
6.0,1.11
21.0,1.0
1.03,11.0
1.01,13.0
3.75,1.25
1.12,5.5
11.0,1.03
9.0,1.05
1.61,2.2
1.02,12.0
11.0,1.03
1.38,2.75
2.62,1.44
2.87,1.4
1.01,15.0
1.1,6.5
6.5,1.1
1.57,2.37
8.0,1.06
1.1,6.0
4.33,1.2
1.61,2.25
3.2,1.36
2.87,1.4
9.0,1.05
7.0,1.08
1.8,1.9
1.3,3.5
1.07,8.0
8.0,1.06
1.16,4.5
4.33,1.22
2.1,1.72
6.5,1.11
1.06,8.0
1.06,8.0
1.05,9.0
15.0,1.01
1.03,11.0
11.0,1.04
8.0,1.07
1.11,6.5
1.005,21.0
1.04,10.0
8.0,1.06
1.02,12.0
1.11,6.0
1.05,9.0
1.33,3.4
10.0,1.04
15.0,1.01
3.75,1.25
11.0,1.03
1.36,3.2
11.0,1.03
5.0,1.14
1.9,1.8
6.0,1.11
5.0,1.14
1.28,3.4
1.57,2.37
1.44,2.75
1.04,10.0
1.01,15.0
15.0,1.01
4.5,1.16
1.33,3.4
4.33,1.22
1.08,7.0
1.12,5.5
1.36,3.0
2.62,1.44
3.2,1.36
11.0,1.03
12.0,1.02
1.2,4.33
1.36,3.0
7.0,1.08
1.07,7.5
1.33,3.25
2.0,1.8
4.33,1.22
3.0,1.4
3.0,1.4
1.4,2.87
15.0,1.01
12.0,1.02
15.0,1.01
13.0,1.01
3.0,1.4
1.05,9.0
1.14,5.0
1.03,11.0
7.0,1.08
1.14,5.0
3.75,1.25
1.36,3.25
5.5,1.12
1.2,4.33
3.5,1.28
1.05,9.0
1.16,4.5
3.0,1.36
1.4,2.75
1.4,3.0
1.08,7.0
5.0,1.14
2.62,1.44
11.0,1.03
12.0,1.02
1.04,10.0
6.5,1.1
1.05,9.0
4.5,1.2
1.03,11.0
1.16,4.5
1.11,6.0
5.0,1.14
11.0,1.03
1.8,1.9
1.12,6.0
1.8,2.0
7.0,1.08
1.16,4.5
4.33,1.2
2.25,1.61
1.14,5.0
1.57,2.25
2.5,1.5
7.0,1.08
6.5,1.1
6.5,1.1
3.5,1.28
1.22,4.33
1.3,3.5
1.36,3.25
21.0,1.005
1.2,4.33
1.22,4.0
1.25,4.0
1.12,5.5
1.14,5.0
8.0,1.06
2.2,1.66
1.11,6.0
4.5,1.16
7.5,1.07
1.2,4.33
1.44,2.75
1.12,5.5
5.0,1.14
1.2,4.5
1.9,1.9
3.0,1.38
3.0,1.38
1.01,15.0
1.01,15.0
1.06,8.0
3.75,1.28
2.87,1.4
1.61,2.4
7.5,1.07
10.0,1.04
1.04,10.0
2.5,1.53
11.0,1.03
1.06,8.0
1.08,7.0
1.07,7.5
2.25,1.61
1.72,2.1
1.03,11.0
15.0,1.01
1.04,10.0
12.0,1.02
8.0,1.07
1.8,2.0
15.0,1.01
21.0,1.005
11.0,1.04
1.02,12.0
1.05,9.0
3.5,1.3
7.5,1.08
3.6,1.28
21.0,1.01
9.0,1.05
5.0,1.16
5.0,1.16
2.75,1.44
1.01,21.0
1.12,5.5
10.0,1.04
1.33,3.4
15.0,1.01
